	_user_id	applied_count	hits@10_count	hits@15_count	hits@20_count	hits@25_count	hits@3_count	hits@5_count	recall@10	recall@15	recall@20	recall@25	recall@3	recall@5
71	193637	17	7	9	10	11	2	4	0.4117647058823529	0.5294117647058824	0.5882352941176471	0.6470588235294118	0.11764705882352941	0.23529411764705882
140	294589	17	14	14	14	15	7	9	0.8235294117647058	0.8235294117647058	0.8235294117647058	0.8823529411764706	0.4117647058823529	0.5294117647058824
85	228362	16	14	14	14	14	13	14	0.875	0.875	0.875	0.875	0.8125	0.875
542	1105987	16	4	7	9	11	1	2	0.25	0.4375	0.5625	0.6875	0.0625	0.125
34	123242	16	14	14	14	14	7	9	0.875	0.875	0.875	0.875	0.4375	0.5625
239	643346	15	8	9	10	12	2	4	0.5333333333333333	0.6	0.6666666666666666	0.8	0.13333333333333333	0.26666666666666666
654	1281584	15	14	15	15	15	7	11	0.9333333333333333	1.0	1.0	1.0	0.4666666666666667	0.7333333333333333
332	802446	15	10	13	13	13	8	8	0.6666666666666666	0.8666666666666667	0.8666666666666667	0.8666666666666667	0.5333333333333333	0.5333333333333333
438	943279	15	11	12	13	14	11	11	0.7333333333333333	0.8	0.8666666666666667	0.9333333333333333	0.7333333333333333	0.7333333333333333
714	1371980	15	4	6	9	11	1	1	0.26666666666666666	0.4	0.6	0.7333333333333333	0.06666666666666667	0.06666666666666667
335	807325	15	8	9	10	11	2	6	0.5333333333333333	0.6	0.6666666666666666	0.7333333333333333	0.13333333333333333	0.4
138	292174	15	0	2	4	7	0	0	0.0	0.13333333333333333	0.26666666666666666	0.4666666666666667	0.0	0.0
32	120989	15	7	8	9	9	4	5	0.4666666666666667	0.5333333333333333	0.6	0.6	0.26666666666666666	0.3333333333333333
134	288563	15	2	3	6	6	0	0	0.13333333333333333	0.2	0.4	0.4	0.0	0.0
612	1212678	15	3	4	6	7	0	1	0.2	0.26666666666666666	0.4	0.4666666666666667	0.0	0.06666666666666667
431	936118	15	9	13	14	15	6	6	0.6	0.8666666666666667	0.9333333333333333	1.0	0.4	0.4
511	1056098	15	5	11	12	13	4	4	0.3333333333333333	0.7333333333333333	0.8	0.8666666666666667	0.26666666666666666	0.26666666666666666
557	1131798	14	11	12	12	12	10	11	0.7857142857142857	0.8571428571428571	0.8571428571428571	0.8571428571428571	0.7142857142857143	0.7857142857142857
253	672060	14	9	10	11	12	5	7	0.6428571428571429	0.7142857142857143	0.7857142857142857	0.8571428571428571	0.35714285714285715	0.5
759	1444851	14	10	10	10	11	3	5	0.7142857142857143	0.7142857142857143	0.7142857142857143	0.7857142857142857	0.21428571428571427	0.35714285714285715
494	1034905	14	10	11	12	13	6	7	0.7142857142857143	0.7857142857142857	0.8571428571428571	0.9285714285714286	0.42857142857142855	0.5
731	1397216	14	6	6	8	10	2	2	0.42857142857142855	0.42857142857142855	0.5714285714285714	0.7142857142857143	0.14285714285714285	0.14285714285714285
308	767036	14	4	5	5	7	0	1	0.2857142857142857	0.35714285714285715	0.35714285714285715	0.5	0.0	0.07142857142857142
587	1171292	14	7	8	10	11	3	4	0.5	0.5714285714285714	0.7142857142857143	0.7857142857142857	0.21428571428571427	0.2857142857142857
108	253673	14	5	6	8	13	2	3	0.35714285714285715	0.42857142857142855	0.5714285714285714	0.9285714285714286	0.14285714285714285	0.21428571428571427
151	349748	13	6	9	10	10	3	3	0.46153846153846156	0.6923076923076923	0.7692307692307693	0.7692307692307693	0.23076923076923078	0.23076923076923078
749	1426975	13	8	10	10	10	3	4	0.6153846153846154	0.7692307692307693	0.7692307692307693	0.7692307692307693	0.23076923076923078	0.3076923076923077
89	231730	13	7	7	10	11	3	4	0.5384615384615384	0.5384615384615384	0.7692307692307693	0.8461538461538461	0.23076923076923078	0.3076923076923077
466	979415	13	4	5	7	9	2	3	0.3076923076923077	0.38461538461538464	0.5384615384615384	0.6923076923076923	0.15384615384615385	0.23076923076923078
245	659500	13	2	5	6	8	1	1	0.15384615384615385	0.38461538461538464	0.46153846153846156	0.6153846153846154	0.07692307692307693	0.07692307692307693
461	973957	13	6	7	7	10	3	3	0.46153846153846156	0.5384615384615384	0.5384615384615384	0.7692307692307693	0.23076923076923078	0.23076923076923078
508	1050047	13	5	6	8	8	3	3	0.38461538461538464	0.46153846153846156	0.6153846153846154	0.6153846153846154	0.23076923076923078	0.23076923076923078
504	1044932	12	12	12	12	12	11	11	1.0	1.0	1.0	1.0	0.9166666666666666	0.9166666666666666
162	388707	12	7	8	8	10	4	5	0.5833333333333334	0.6666666666666666	0.6666666666666666	0.8333333333333334	0.3333333333333333	0.4166666666666667
327	791756	12	7	8	9	10	2	3	0.5833333333333334	0.6666666666666666	0.75	0.8333333333333334	0.16666666666666666	0.25
72	197266	12	8	10	11	12	3	4	0.6666666666666666	0.8333333333333334	0.9166666666666666	1.0	0.25	0.3333333333333333
33	122074	12	2	2	3	3	1	1	0.16666666666666666	0.16666666666666666	0.25	0.25	0.08333333333333333	0.08333333333333333
361	841891	12	8	9	10	11	4	6	0.6666666666666666	0.75	0.8333333333333334	0.9166666666666666	0.3333333333333333	0.5
702	1352131	12	4	6	8	8	2	3	0.3333333333333333	0.5	0.6666666666666666	0.6666666666666666	0.16666666666666666	0.25
641	1256633	12	6	8	8	9	1	5	0.5	0.6666666666666666	0.6666666666666666	0.75	0.08333333333333333	0.4166666666666667
356	837925	12	7	8	8	9	2	5	0.5833333333333334	0.6666666666666666	0.6666666666666666	0.75	0.16666666666666666	0.4166666666666667
229	613605	12	4	4	5	5	1	3	0.3333333333333333	0.3333333333333333	0.4166666666666667	0.4166666666666667	0.08333333333333333	0.25
692	1338273	11	2	5	6	6	0	1	0.18181818181818182	0.45454545454545453	0.5454545454545454	0.5454545454545454	0.0	0.09090909090909091
398	888498	11	5	6	8	9	3	4	0.45454545454545453	0.5454545454545454	0.7272727272727273	0.8181818181818182	0.2727272727272727	0.36363636363636365
1	2652	11	6	6	8	9	4	4	0.5454545454545454	0.5454545454545454	0.7272727272727273	0.8181818181818182	0.36363636363636365	0.36363636363636365
416	905068	11	7	10	10	10	6	7	0.6363636363636364	0.9090909090909091	0.9090909090909091	0.9090909090909091	0.5454545454545454	0.6363636363636364
552	1124224	11	9	9	9	11	7	9	0.8181818181818182	0.8181818181818182	0.8181818181818182	1.0	0.6363636363636364	0.8181818181818182
646	1264978	11	7	8	8	8	6	7	0.6363636363636364	0.7272727272727273	0.7272727272727273	0.7272727272727273	0.5454545454545454	0.6363636363636364
644	1260250	11	2	2	3	4	2	2	0.18181818181818182	0.18181818181818182	0.2727272727272727	0.36363636363636365	0.18181818181818182	0.18181818181818182
764	1453700	11	10	10	11	11	5	7	0.9090909090909091	0.9090909090909091	1.0	1.0	0.45454545454545453	0.6363636363636364
700	1349903	11	2	3	6	7	2	2	0.18181818181818182	0.2727272727272727	0.5454545454545454	0.6363636363636364	0.18181818181818182	0.18181818181818182
263	698228	10	6	6	7	8	4	4	0.6	0.6	0.7	0.8	0.4	0.4
314	775737	10	0	1	6	7	0	0	0.0	0.1	0.6	0.7	0.0	0.0
403	893787	10	9	9	9	9	3	6	0.9	0.9	0.9	0.9	0.3	0.6
760	1448126	10	2	2	3	5	1	1	0.2	0.2	0.3	0.5	0.1	0.1
534	1095064	10	7	8	8	9	3	5	0.7	0.8	0.8	0.9	0.3	0.5
571	1148741	10	1	2	3	4	0	0	0.1	0.2	0.3	0.4	0.0	0.0
113	258581	10	5	7	7	7	2	3	0.5	0.7	0.7	0.7	0.2	0.3
213	563760	10	5	5	5	6	3	3	0.5	0.5	0.5	0.6	0.3	0.3
196	521212	10	2	4	4	6	1	1	0.2	0.4	0.4	0.6	0.1	0.1
79	212311	10	6	7	7	8	1	3	0.6	0.7	0.7	0.8	0.1	0.3
415	902905	9	8	8	9	9	7	8	0.8888888888888888	0.8888888888888888	1.0	1.0	0.7777777777777778	0.8888888888888888
479	1004846	9	3	7	7	7	0	0	0.3333333333333333	0.7777777777777778	0.7777777777777778	0.7777777777777778	0.0	0.0
339	812643	9	7	7	7	7	5	5	0.7777777777777778	0.7777777777777778	0.7777777777777778	0.7777777777777778	0.5555555555555556	0.5555555555555556
348	823347	9	8	8	8	8	6	8	0.8888888888888888	0.8888888888888888	0.8888888888888888	0.8888888888888888	0.6666666666666666	0.8888888888888888
352	832203	9	5	6	7	7	3	5	0.5555555555555556	0.6666666666666666	0.7777777777777778	0.7777777777777778	0.3333333333333333	0.5555555555555556
194	513192	9	1	2	3	4	0	1	0.1111111111111111	0.2222222222222222	0.3333333333333333	0.4444444444444444	0.0	0.1111111111111111
221	604479	9	8	8	8	8	7	7	0.8888888888888888	0.8888888888888888	0.8888888888888888	0.8888888888888888	0.7777777777777778	0.7777777777777778
491	1033482	9	7	7	7	7	6	7	0.7777777777777778	0.7777777777777778	0.7777777777777778	0.7777777777777778	0.6666666666666666	0.7777777777777778
223	608107	9	3	5	5	7	0	1	0.3333333333333333	0.5555555555555556	0.5555555555555556	0.7777777777777778	0.0	0.1111111111111111
509	1054694	9	8	8	8	9	5	6	0.8888888888888888	0.8888888888888888	0.8888888888888888	1.0	0.5555555555555556	0.6666666666666666
187	496866	9	3	4	4	4	2	2	0.3333333333333333	0.4444444444444444	0.4444444444444444	0.4444444444444444	0.2222222222222222	0.2222222222222222
426	919646	9	4	5	7	7	2	2	0.4444444444444444	0.5555555555555556	0.7777777777777778	0.7777777777777778	0.2222222222222222	0.2222222222222222
512	1060076	9	5	6	7	7	2	2	0.5555555555555556	0.6666666666666666	0.7777777777777778	0.7777777777777778	0.2222222222222222	0.2222222222222222
423	916751	9	0	2	2	2	0	0	0.0	0.2222222222222222	0.2222222222222222	0.2222222222222222	0.0	0.0
203	534554	9	5	5	5	7	4	4	0.5555555555555556	0.5555555555555556	0.5555555555555556	0.7777777777777778	0.4444444444444444	0.4444444444444444
551	1120504	9	1	1	1	2	0	0	0.1111111111111111	0.1111111111111111	0.1111111111111111	0.2222222222222222	0.0	0.0
44	154624	9	2	5	6	6	0	1	0.2222222222222222	0.5555555555555556	0.6666666666666666	0.6666666666666666	0.0	0.1111111111111111
112	255422	9	1	5	6	7	0	1	0.1111111111111111	0.5555555555555556	0.6666666666666666	0.7777777777777778	0.0	0.1111111111111111
695	1344469	9	3	3	4	4	3	3	0.3333333333333333	0.3333333333333333	0.4444444444444444	0.4444444444444444	0.3333333333333333	0.3333333333333333
